Unit Name,SPO ID,Unit Type,University,Society,Member Count,Members Required,Members Met,Events (General),Events (Technical),Events (Unreported),Events Required,Events Met,Chair,Counselor,Advisor,Vice Chair,Secretary,Treasurer,Webmaster,Officers Status,Requirements Met,Overall Vitality
Universidad el Bosque,STB60951,Student Branch,Universidad El Bosque,,10,12,No,0,,0,4,No,No,Yes,,No,No,No,No,Partial,0/3,Not Met
University of Pamplona,STB41556639,Student Branch,University of Pamplona,,43,12,Yes,0,,0,4,No,No,Yes,,No,No,No,Yes,Partial,1/3,Not Met
University of San Buenaventura,STB03171,Student Branch,University of San Buenaventura,,2,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
"Antonio Narino University,COM19",SBC64411D,Student Branch Chapter,Antonio Narino University,COM19,18,6,Yes,0,0,0,2,No,Yes,,Yes,Yes,Yes,Yes,Yes,Met,2/3,Not Met
"Antonio Narino University,EMB18",SBC64411C,Student Branch Chapter,Antonio Narino University,EMB18,12,6,Yes,0,0,0,2,No,Yes,,Yes,Yes,Yes,Yes,Yes,Met,2/3,Not Met
"Antonio Narino University,RA24",SBC64411B,Student Branch Chapter,Antonio Narino University,RA24,25,6,Yes,0,0,0,2,No,Yes,,Yes,Yes,Yes,Yes,Yes,Met,2/3,Not Met
"Antonio Narino University,TEM14",SBC64411A,Student Branch Chapter,Antonio Narino University,TEM14,20,6,Yes,0,0,0,2,No,Yes,,Yes,Yes,Yes,Yes,Yes,Met,2/3,Not Met
"Corporación Universitaria del Huila–CORHUILA,RA24",SBC60236869,Student Branch Chapter,Corporación Universitaria del Huila – CORHUILA,RA24,10,6,Yes,0,0,0,2,No,Yes,,Yes,No,No,No,No,Met,2/3,Not Met
"De La Salle University,AES10",SBC40010389B,Student Branch Chapter,De La Salle University,AES10,0,6,No,0,0,0,2,No,No,,No,No,No,No,Yes,Not Met,0/3,Not Met
"De La Salle University,PE31",SBC40010389A,Student Branch Chapter,De La Salle University,PE31,1,6,No,0,0,0,2,No,Yes,,No,Yes,No,No,Yes,Partial,0/3,Not Met
"De La Salle University,RA24",SBC40010389,Student Branch Chapter,De La Salle University,RA24,2,6,No,0,0,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Escuela Colombiana DeIng Julio Garavito,AES10",SBC27011B,Student Branch Chapter,Escuela Colombiana De Ingenieria Julio Garavito,AES10,1,6,No,0,0,0,2,No,No,,Yes,No,No,No,No,Partial,0/3,Not Met
"Escuela Colombiana de Carreras Industriales, AES10",SBC05421A,Student Branch Chapter,Escuela Colombiana de Carreras Industriales,AES10,3,6,No,0,0,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Escuela Colombiana de Carreras Industriales, COM19",SBC05421B,Student Branch Chapter,Escuela Colombiana de Carreras Industriales,COM19,0,6,No,0,0,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Escuela Colombiana de Carreras Industriales, RA24",SBC05421,Student Branch Chapter,Escuela Colombiana de Carreras Industriales,RA24,12,6,Yes,3,3,0,2,Yes,Yes,,No,Yes,Yes,Yes,Yes,Partial,2/3,Not Met
"Escuela Colombiana de Carreras Industriales,EMB18",SBC05421C,Student Branch Chapter,Escuela Colombiana de Carreras Industriales,EMB18,1,6,No,0,0,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
